title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
Malicious Life,Cybereason,2017–,free-public,tech-gone-wrong; espionage-intelligence; historical-reconstruction,"Narrated history-of-cybersecurity series reconstructing infamous hacks, malware outbreaks, and digital espionage operations as serialized true stories.",Stuxnet arc; the Equifax breach,"Long-running, well-reviewed entry in the cybersecurity-narrative niche."
Exit Scam,Wondery,2021,early-access-paywall,financial-scam; tech-gone-wrong; disappearance-missing-persons,Narrative documentary about the mysterious death of QuadrigaCX founder Gerald Cotten and the $250 million in customer crypto that vanished with him.,,Widely covered breakout crypto-fraud narrative series.
Swindled,Concession Stand Media (independent),2017–,early-access-paywall,corporate-fraud; environmental-climate; financial-scam,"Independently produced true-story series on corporate fraud, environmental crimes, and con artists, narrated anonymously with heavy investigative research.","Episodes on Theranos, the Flint water crisis, and Purdue Pharma","Cult following for its meticulous, indie investigative approach to corporate wrongdoing."
American Innovations,Wondery,2019–,early-access-paywall,science-wonder; business-empire; historical-reconstruction,"Narrated history series on the inventions, entrepreneurs, and companies that built modern industries, blending business history with science storytelling.",Seasons on the automobile industry and the space race,Companion series to American Scandal; broad audience for accessible tech/business history.
Persona: The French Deception,Wondery,2022,early-access-paywall,charismatic-con-artist; financial-scam,Narrative investigation into a woman who posed as a Rothschild banking heiress to swindle wealthy victims across Europe out of millions.,,Notable entry in Wondery's con-artist narrative catalog.
30 for 30 Podcasts,ESPN,2016–2020,free-public,sports-narrative; corporate-fraud; abuse-of-power,"Anthology spinoff of ESPN's acclaimed 30 for 30 documentary film series, using deep archival tape and reporting to tell single-subject sports sagas.","Fantastic Lies (Duke lacrosse case), Bikram (yoga guru's rise and fall), Heavy Medals (Béla Károlyi and USA gymnastics), Fastest Man Alive (Tyson Gay doping scandal), Screwball (Alex Rodriguez/Biogenesis)",Extension of the Peabody- and Sports Emmy-winning 30 for 30 film franchise; Bikram and Fantastic Lies drew wide critical acclaim.
American Fiasco,ESPN / 30 for 30 Podcasts,2018,free-public,sports-narrative; institutional-coverup,"Narrative account of the 1998 U.S. Men's National Soccer Team's spectacular clubhouse implosion at the World Cup in France, told through players and staff.",,Widely praised as one of the strongest entries in the 30 for 30 Podcasts slate for its intimate access and pacing.
Rivals,The Ringer,2020–,free-public,sports-narrative; historical-reconstruction,"Documentary-style anthology narrating the histories of iconic sports rivalries — franchises, athletes, and fanbases — through archival tape and reporting.","Yankees–Red Sox, Lakers–Celtics, Ali–Frazier",Flagship narrative sports project from Bill Simmons' The Ringer network.
Slow Burn: Biggie & Tupac,Slate,2021,early-access-paywall,music-history; unsolved-murder; institutional-coverup,A season of Slate's Slow Burn franchise reconstructing the unsolved murders of Notorious B.I.G. and Tupac Shakur and the East Coast–West Coast rivalry that framed them.,,One of the most acclaimed seasons of the Slow Burn franchise; widely reviewed alongside other Biggie/Tupac cold-case coverage. (Ad-free/early access requires Slate Plus.)
Cocaine & Rhinestones,Tyler Mahan Coe (independent),2017–,free-public,music-history; historical-reconstruction,"Deeply researched narrative history of country music, unpacking the industry battles, personal dramas, and myths behind its biggest stars and songs.","Season 1 (George Jones/Tammy Wynette, Loretta Lynn, Dolly Parton, Merle Haggard episodes)","Critically lauded for exhaustive, footnoted research; frequently cited as a model for narrative music journalism."
The Last Days of August,Wondery / The Ringer,2019,early-access-paywall,media-internet-culture; personal-mystery; survivor-testimony,"Jon Ronson's narrative investigation into the death of adult-film star August Ames after an online pile-on, examining the culture and business behind it.",,From acclaimed narrative journalist Jon Ronson (The Butterfly Effect); noted for sensitive handling of a fraught subject.
The Big Hit Show,Spotify Studios / Neon Hum Media,2022–,platform-locked,music-history; media-internet-culture,"Narrative deep-dives into how specific songs, albums, or shows became runaway cultural hits, tracing the decisions and accidents behind them.","'Old Town Road,' Daft Punk's Random Access Memories",Spotify Original hosted by Alex Pappademas; praised for granular music-industry reporting. (Spotify-exclusive — no open RSS.)
Cover Up,iHeartRadio,2022–,free-public,music-history; personal-mystery,"Anthology series investigating hidden or lost mysteries in music history, from missing recordings to buried scandals.",Season 1: Bruce Springsteen's missing Electric Nebraska tapes,Notable for original archival digging into music-industry lore rarely covered elsewhere.
Hit Parade,Slate,2016–,early-access-paywall,music-history; historical-reconstruction,"Narrated history of the pop charts, tracing how eras, genres, and specific number-one hits reshaped the music industry and American culture.","Multi-part histories of disco, hip-hop's chart takeover, and one-hit wonders",Hosted by chart historian Chris Molanphy; a Slate flagship narrative-history show. (Ad-free/bonus access requires Slate Plus.)
Have You Heard George's Podcast,BBC,2018–,free-public,media-internet-culture; civil-rights-history; speculative-fiction-as-journalism,"Genre-blending narrative series mixing poetry, jazz, and reported storytelling to explore Black British identity, history, and culture through fictionalized-journalistic vignettes.",,Winner of a Peabody Award and British Podcast Awards; praised as boundary-pushing audio art.
The Dream,Stitcher,2018–,early-access-paywall,corporate-fraud; financial-scam; business-empire,"Investigative narrative series exposing the multi-level marketing and wellness industries, following the people who profit from and are harmed by them.","Season 1 (MLMs), Season 2 (the wellness industry)",Widely credited with mainstreaming journalistic scrutiny of the MLM industry. (Early/ad-free access via Stitcher Premium.)
Bear Grease,MeatEater,2021–,free-public,historical-reconstruction; sports-narrative,"Long-form narrative history of American outdoor, hunting, and rural culture, tracing folklore and real events that shaped frontier and sporting traditions.",,"Became one of the top outdoor-culture podcasts, known for immersive long-form narration."
Blindspot: Empire City,WNYC Studios / THE CITY / History Channel,2022,free-public,institutional-coverup; police-misconduct; racial-injustice; historical-reconstruction,"Narrative history of the NYPD's 175-year rise as an institution of power, tracing its roots in slave patrols, corruption, and reform through reported storytelling.",,Part of the award-winning Blindspot investigative-history franchise.
Theory of Everything,Radiotopia / PRX,2014–,free-public,speculative-fiction-as-journalism; media-internet-culture; tech-gone-wrong; abuse-of-power,"Benjamen Walker fuses documentary reporting, personal essay, and outright fiction into one seamless narrative, deliberately blurring which segments are true — a defining experiment in fiction-as-journalism.","Instaserfs (2015, 3-part gig-economy exposé reported from inside the sharing economy); The Secret Histories of Podcasting; New York After Rent; False Alarm! / The Dislike Club",Radiotopia flagship and a landmark of genre-blurring audio; evolved from WFMU's Too Much Information. Chris flag: Instaserfs and The Secret Histories of Podcasting are canon.
